#DESI TS - Eff mode: BDT-r
#2D ========= (0.2 dz bins, 0.5 r mag.)
3.5 20.25 0.113332
3.5 20.75 0.149034
3.5 21.25 0.181776
3.5 21.75 0.194906
3.5 22.25 0.0893151
3.7 16.75 0.0008
3.7 17.25 0.00176
3.7 17.75 0.00368
3.7 18.25 0.00752
3.7 18.75 0.0133851
3.7 19.25 0.0265536
3.7 19.75 0.0514159
3.7 20.25 0.0763075
3.7 20.75 0.097497
3.7 21.25 0.106995
3.7 21.75 0.10438
3.7 22.25 0.0477939
3.9 16.75 0.00042
3.9 17.25 0.00102
3.9 17.75 0.00198
3.9 18.25 0.00372
3.9 18.75 0.00630857
3.9 19.25 0.0150028
3.9 19.75 0.0302644
3.9 20.25 0.0423609
3.9 20.75 0.0538512
3.9 21.25 0.0531012
3.9 21.75 0.045737
3.9 22.25 0.0211259
4.1 16.75 0.00012
4.1 17.25 0.00044
4.1 17.75 0.00084
4.1 18.25 0.00156
4.1 18.75 0.00245029
4.1 19.25 0.00792463
4.1 19.75 0.0167223
4.1 20.25 0.0219885
4.1 20.75 0.02783
4.1 21.25 0.0239927
4.1 21.75 0.0166775
4.1 22.25 0.00778303
4.3 16.75 2e-05
4.3 17.25 0.00014
4.3 17.75 0.00028
4.3 18.25 0.00046
4.3 18.75 0.000694856
4.3 19.25 0.00401494
4.3 19.75 0.00889402
4.3 20.25 0.0109633
4.3 20.75 0.0136484
4.3 21.25 0.00984389
4.3 21.75 0.0042954
4.3 22.25 0.00201951
4.5 16.75 0
4.5 17.25 0
4.5 17.75 0
4.5 18.25 0
4.5 18.75 0
4.5 19.25 0.00186
4.5 19.75 0.004255
4.5 20.25 0.004899
4.5 20.75 0.006
4.5 21.25 0.003384
4.5 21.75 0
4.5 22.25 0
4.7 16.75 0
4.7 17.25 0
4.7 17.75 0
4.7 18.25 0
4.7 18.75 0
4.7 19.25 0.00108
4.7 19.75 0.0023125
4.7 20.25 0.002556
4.7 20.75 0.00306
4.7 21.25 0.001728
4.7 21.75 0
4.7 22.25 0
4.9 16.75 0
4.9 17.25 0
4.9 17.75 0
4.9 18.25 0
4.9 18.75 0
4.9 19.25 0.00102
4.9 19.75 0.0021275
4.9 20.25 0.002272
4.9 20.75 0.00258
4.9 21.25 0.001392
4.9 21.75 0
4.9 22.25 0
